front_text,back_text
will,"chcieć, wola, testament, będzie"
such,taki
so,"tak, więc, zatem, aby, żeby"
said,"powiedział ,powiedziany, wspomniany"
state,"stan, państwo, pompa, stanowisko, twierdzić, ogłosić"
made,"wykonany ,wykonać, uczynić"
shall,"powinien, musieć"
used,"używany, już wcześniej"
part,"część, porcja, rola, udział"
during,"podczas, w trakcie"
even,"równy, płaski, stały, niezmienny, sprawiedliwy, parzysty, nawet, dokładnie, wyrównać"
system,system
upon,"na, po, wobec, przy, na podstawie"
however,"jednak ,ale, jednakże, mimo to, jakkolwiek"
government,"rząd, administracja, władze"
most,"większość, najbardziej, bardzo"
law,"prawo, reguła"
act,"akt, czyn, ustawa, proces, tok, dekret, część opery, grać, udawać, zachowywać się, działać, reprezentować, przynosić, wpływać, służyć jako"
without,"bez, nie mając, pozbawiony"
court,"sąd, dwór, kort, zalecać się"
while,"podczas gdy, w trakcie, dopóki, póki, choć, jakkolwiek"
within,"w, w obrębie, w granicach, w promieniu, wewnątrz, w ramach"
national,"narodowy, państwowy, krajowy"
company,"towarzystwo, spółka, firma, kompania"
against,"przeciw, przeciwko, wbrew, na wypadek"
given,"dany, zakładając, biorąc pod uwagę"
power,"władza, moc, zasilanie, potęga, wpływ, mocarstwo, napędzać"
since,"odkąd, ponieważ, skoro, od, odtąd"
university,uniwersytet
research,"badanie, naukowy, badawczy, śledztwo, badać, dociekać, badania"
less,"mniej, mniejszy, bez, chyba że"
might,"móc, mógłby, może, możliwy"
still,"wciąż, ciągle, nadal, jeszcze, mimo to, nieruchomy, stały, niegazowany"
committee,"komitet, komisja"
area,"obszar, rejon, dziedzina, pole, powierzchnia"
last,"ostatni, zeszły, poprzedni, ubiegły, ostatnio"
fact,"fakt, okoliczność"
value,"wartość, zaleta, cenić, szacować, oszacowywać, wyceniać"
control,"władza, panowanie, nadzór, wpływ, kontrola, przełącznik, pokrętło, sterować, rządzić, kierować, regulować, kontrolować, opanowywać"
education,"edukacja, oświata, szkolnictwo, kształcenie, nauczanie, wykształcenie, pedagogika, edukacyjny, oświatowy"
report,"raport, raportować, donosić, meldować"
interest,"zainteresowanie, zaciekawienie, troska, udział, odsetki, wzbudzać"
few,"kilka ,mało, niewiele, kilku, niedużo"
study,"nauka, badanie, czytelnia, studiować, uczyć się"
country,"kraj, państwo, wieś, kraina, region, wiejski"
possible,"możliwe ,możliwy, prawdopodobny, osiągalny, wykonalny"
following,"następujący, następny, po"
local,"lokalny, miejscowy"
effect,"efekt, rezultat, skutek, oddziaływanie"
based,"oparty, bazujący"
certain,"pewny, określony, jakiś, pewien"
members,członkowie
